Date,Open,High,Low,Close,Volume
2025-06-16,470.99,472.26,469.61,470.66,27481491
2025-06-17,469.69,471.18,467.21,468.27,71645806
2025-06-18,469.31,470.74,466.77,467.21,29545997
2025-06-19,466.78,467.72,464.7,465.5,38298331
2025-06-20,464.7,466.13,464.02,465.56,51485598
2025-06-23,464.9,467.55,463.85,466.63,18716033
2025-06-24,465.9,466.94,464.28,466.74,92250562
2025-06-25,466.31,468.41,465.11,468.15,50212199
2025-06-26,468.14,468.3,465.0,466.55,35702398
2025-06-27,466.14,468.18,465.16,467.25,29788356
2025-06-30,467.85,472.11,466.32,470.5,62831998
2025-07-01,469.6,472.42,469.42,472.01,41026426
2025-07-02,471.5,472.93,470.58,471.25,37474760
2025-07-03,470.46,472.35,470.24,470.97,93950954
2025-07-04,470.31,472.08,468.9,471.97,71548587
2025-07-07,472.57,474.23,471.89,474.01,24269524
2025-07-08,474.28,477.03,474.08,476.4,39878585
2025-07-09,476.9,478.02,474.81,476.33,52777194
2025-07-10,476.8,478.11,474.2,475.2,76677374
2025-07-11,475.25,476.3,475.11,475.51,23631314
2025-07-14,475.81,476.42,472.86,473.77,87605317
2025-07-15,473.57,474.88,472.16,472.62,21158392
2025-07-16,471.88,473.46,469.73,471.12,65672300
2025-07-17,471.79,474.35,470.26,473.95,58147379
2025-07-18,474.82,477.27,474.55,476.66,33234813
2025-07-21,477.36,478.84,477.18,477.29,55859784
2025-07-22,476.68,476.97,475.93,476.57,90432776
2025-07-23,476.61,477.84,475.35,476.03,92742566
2025-07-24,475.48,478.99,474.9,478.09,37787239
2025-07-25,478.33,479.24,476.14,476.32,37291717
2025-07-28,475.75,478.42,474.86,478.09,93852036
2025-07-29,478.47,479.78,477.0,477.48,73257307
2025-07-30,477.77,478.88,476.45,477.41,22223181
2025-07-31,477.01,479.39,476.85,478.99,62271435
2025-08-01,477.92,480.03,477.46,479.11,66613823
2025-08-04,479.53,480.25,476.61,478.2,26001675
2025-08-05,477.35,478.93,475.36,476.86,35635330
2025-08-06,477.56,479.65,476.61,478.66,34348183
2025-08-07,479.53,481.07,476.68,477.8,42122383
2025-08-08,478.29,479.83,476.32,477.84,77390043
